Rk,Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,TG/G,PP,PPO,PP%,PPA,PPOA,PK,SH,SHA,S,S%,SA,SV%,PDO
1,Boston Bruins*,27.6,82,54,19,9,117,0.713,258,171,0.92,-0.11,5.34,50,230,21.74,43,263,83.65,9,6,2612,9.9,2385,0.928,102.4
2,Anaheim Ducks*,27.7,82,54,20,8,116,0.707,263,203,0.68,-0.01,5.79,44,275,16,48,270,82.22,10,8,2569,10.2,2353,0.914,101.4
3,Colorado Avalanche*,26.9,82,52,22,8,112,0.683,245,216,0.4,0.04,5.73,50,252,19.84,48,249,80.72,3,1,2420,10.1,2678,0.919,101.8
4,St. Louis Blues*,27.4,82,52,23,7,111,0.677,239,188,0.71,0.01,5.35,56,283,19.79,42,293,85.67,6,6,2402,10,2163,0.913,101.1
5,San Jose Sharks*,28.7,82,51,22,9,111,0.677,239,193,0.6,0,5.48,50,291,17.18,33,219,84.93,8,6,2851,8.4,2281,0.915,100
6,Pittsburgh Penguins*,28.3,82,51,24,7,109,0.665,242,204,0.47,-0.04,5.56,65,278,23.38,38,254,85.04,4,6,2454,9.9,2358,0.913,101
7,Chicago Blackhawks*,27.5,82,46,21,15,107,0.652,261,212,0.6,0.02,5.94,50,257,19.46,46,248,81.45,9,6,2715,9.6,2229,0.905,100.2
8,Tampa Bay Lightning*,27.1,82,46,27,9,101,0.616,232,209,0.25,-0.06,5.55,50,270,18.52,52,270,80.74,10,8,2446,9.5,2397,0.913,100.8
9,Los Angeles Kings*,27.4,82,46,28,8,100,0.61,198,168,0.4,0.01,4.63,43,284,15.14,50,296,83.11,5,6,2595,7.6,2148,0.922,100
10,Montreal Canadiens*,28.3,82,46,28,8,100,0.61,209,201,0.08,-0.05,5.11,48,279,17.2,43,289,85.12,6,8,2330,9,2541,0.921,101
11,Minnesota Wild*,27.2,82,43,27,12,98,0.598,199,198,0.07,0.05,5.04,45,252,17.86,53,250,78.8,4,8,2180,9.1,2273,0.913,100.6
12,New York Rangers*,27.4,82,45,31,6,96,0.585,214,190,0.26,-0.04,5.01,48,264,18.18,34,232,85.34,10,7,2719,7.9,2412,0.921,100.2
13,Philadelphia Flyers*,27.7,82,42,30,10,94,0.573,233,227,-0.01,-0.02,5.74,58,294,19.73,48,316,84.81,8,11,2490,9.4,2508,0.909,100.4
14,Columbus Blue Jackets*,26.1,82,43,32,7,93,0.567,226,214,0.16,-0.03,5.45,54,280,19.29,50,280,82.14,9,8,2431,9.3,2524,0.915,100.6
15,Detroit Red Wings*,28.6,82,39,28,15,93,0.567,217,221,-0.14,-0.04,5.51,50,282,17.73,50,295,83.05,3,5,2456,8.8,2400,0.908,99.8
16,Dallas Stars*,28.2,82,40,31,11,91,0.555,231,223,0.14,0.05,5.65,46,290,15.86,49,263,81.37,8,5,2597,8.9,2492,0.911,100
17,Washington Capitals,26.5,82,38,30,14,90,0.549,225,229,-0.08,-0.02,5.79,68,291,23.37,51,284,82.04,5,10,2412,9.3,2750,0.917,100.9
18,Phoenix Coyotes,28.7,82,37,30,15,89,0.543,210,224,-0.16,0.03,5.45,56,282,19.86,57,272,79.04,3,5,2497,8.4,2540,0.912,99.8
19,Ottawa Senators,26.6,82,37,31,14,88,0.537,229,258,-0.37,-0.02,6.11,50,271,18.45,61,320,80.94,5,10,2691,8.5,2849,0.909,99.7
20,New Jersey Devils,30.6,82,35,29,18,88,0.537,197,195,-0.15,-0.02,4.94,47,241,19.5,36,264,86.36,9,4,2199,9,2089,0.907,99.7
21,Nashville Predators,26.7,82,38,32,12,88,0.537,214,233,-0.25,0.07,5.59,46,239,19.25,47,238,80.25,2,0,2382,9,2370,0.902,99.4
22,Toronto Maple Leafs,26.2,82,38,36,8,84,0.512,222,252,-0.34,-0.04,5.94,50,252,19.84,58,268,78.36,7,12,2290,9.7,2945,0.914,101
23,Winnipeg Jets,26.3,82,37,35,10,84,0.512,219,231,-0.07,0.06,5.66,40,259,15.44,49,291,83.16,5,6,2516,8.7,2472,0.907,99.6
24,Carolina Hurricanes,27,82,36,35,11,83,0.506,205,226,-0.29,-0.01,5.33,41,281,14.59,44,241,81.74,11,8,2561,8,2537,0.911,99.3
25,Vancouver Canucks,28.6,82,36,35,11,83,0.506,191,216,-0.3,0.03,5.11,39,257,15.18,46,274,83.21,6,4,2527,7.6,2327,0.907,98.6
26,New York Islanders,26.2,82,34,37,11,79,0.482,216,261,-0.51,0,6,49,276,17.75,58,265,78.11,8,7,2537,8.5,2464,0.894,98.4
27,Calgary Flames,26.7,82,35,40,7,77,0.47,202,238,-0.35,0.04,5.49,39,249,15.66,43,235,81.7,12,7,2199,9.2,2345,0.899,99.2
28,Edmonton Oilers,26.5,82,29,44,9,67,0.409,199,267,-0.75,0.07,5.77,46,271,16.97,50,280,82.14,4,13,2208,9,2696,0.901,99.3
29,Florida Panthers,29,82,29,45,8,66,0.402,188,262,-0.87,0.01,5.66,27,269,10.04,63,262,75.95,8,6,2451,7.7,2551,0.897,97.9
30,Buffalo Sabres,26.6,82,21,51,10,52,0.317,150,243,-1.09,0.02,4.94,36,256,14.06,51,274,81.39,5,5,2156,7,2816,0.914,98.6
,League Average,27.5,82,41,31,10,92,0.562,225,225,0,0,5.49,48,269,17.89,48,269,82.11,7,7,2651,8.3,2651,0.911,
