Rk,Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,TG/G,PP,PPO,PP%,PPA,PPOA,PK,SH,SHA,S,S%,SA,SV%,PDO
1,Detroit Red Wings*,32.3,82,50,19,13,113,0.689,252,191,0.72,0.05,5.52,68,401,16.96,63,408,84.56,12,11,2771,9.1,2020,0.905,
2,Buffalo Sabres*,27.2,82,53,22,7,113,0.689,298,238,0.64,-0.16,6.71,71,407,17.44,72,386,81.35,8,13,2417,12.3,2541,0.906,
3,Anaheim Ducks*,28.5,82,48,20,14,110,0.671,254,198,0.67,0.06,5.68,89,398,22.36,61,410,85.12,4,4,2582,9.8,2248,0.912,
4,Nashville Predators*,27.4,82,51,23,8,110,0.671,266,207,0.78,0.05,5.9,71,408,17.4,55,390,85.9,8,2,2261,11.8,2561,0.919,
5,New Jersey Devils*,29.4,82,49,24,9,107,0.652,206,193,0.03,-0.15,5.09,65,367,17.71,40,271,85.24,4,11,2354,8.8,2332,0.917,
6,San Jose Sharks*,26.4,82,51,26,5,107,0.652,256,197,0.77,0.05,5.57,92,410,22.44,55,330,83.33,7,4,2346,10.9,2148,0.908,
7,Dallas Stars*,30,82,50,25,7,107,0.652,217,193,0.44,0.08,5.16,79,427,18.5,59,377,84.35,3,6,2295,9.5,2083,0.907,
8,Ottawa Senators*,26.6,82,48,25,9,105,0.64,286,216,0.64,-0.16,6.22,72,403,17.87,61,394,84.52,17,12,2651,10.8,2479,0.913,
9,Vancouver Canucks*,28,82,49,26,7,105,0.64,217,197,0.39,0.13,5.16,70,407,17.2,57,436,86.93,5,8,2405,9,2398,0.918,
10,Pittsburgh Penguins*,26,82,47,24,11,105,0.64,267,240,0.21,-0.17,6.38,94,463,20.3,75,419,82.1,14,13,2366,11.3,2529,0.905,
11,Minnesota Wild*,28.2,82,48,26,8,104,0.634,225,184,0.65,0.11,5.2,72,380,18.95,48,342,85.96,9,8,2431,9.3,2361,0.922,
12,Atlanta Thrashers*,29.4,82,43,28,11,97,0.591,239,241,-0.15,-0.16,5.99,67,407,16.46,79,391,79.8,9,10,2438,9.8,2582,0.907,
13,Calgary Flames*,28.4,82,43,29,10,96,0.585,255,221,0.51,0.12,5.9,73,401,18.2,81,414,80.43,15,5,2242,11.4,2502,0.912,
14,Colorado Avalanche,28.4,82,44,31,7,95,0.579,267,247,0.39,0.13,6.38,79,374,21.12,70,353,80.17,7,9,2603,10.3,2378,0.896,
15,New York Rangers*,28.6,82,42,30,10,94,0.573,233,211,0.16,-0.16,5.59,75,406,18.47,65,400,83.75,11,6,2586,9,2329,0.909,
16,Tampa Bay Lightning*,28.2,82,44,33,5,93,0.567,243,259,-0.25,-0.15,6.27,69,374,18.45,66,305,78.36,14,11,2418,10,2234,0.884,
17,New York Islanders*,29.7,82,40,30,12,92,0.561,240,235,-0.04,-0.14,5.95,63,348,18.1,79,433,81.76,7,9,2457,9.8,2671,0.912,
18,Toronto Maple Leafs,27.8,82,40,31,11,91,0.555,254,262,-0.21,-0.08,6.43,71,401,17.71,90,418,78.47,3,11,2681,9.5,2330,0.888,
19,Montreal Canadiens,28,82,42,34,6,90,0.549,239,251,-0.21,-0.08,6.11,86,378,22.75,69,419,83.53,17,6,2426,9.9,2685,0.907,
20,Carolina Hurricanes,28.2,82,40,34,8,88,0.537,241,248,-0.29,-0.15,6.02,67,447,14.99,61,395,84.56,12,8,2559,9.4,2336,0.894,
21,Florida Panthers,29.1,82,35,31,16,86,0.524,245,249,-0.27,-0.15,6.15,61,337,18.1,78,443,82.39,5,6,2730,9,2402,0.896,
22,St. Louis Blues,28.9,82,34,35,13,81,0.494,208,248,-0.33,0.15,5.71,46,381,12.07,83,414,79.95,7,10,2202,9.4,2369,0.895,
23,Boston Bruins,27.8,82,35,41,6,76,0.463,210,285,-0.87,-0.01,6.2,71,412,17.23,81,442,81.67,8,18,2370,8.9,2748,0.896,
24,Columbus Blue Jackets,27.8,82,33,42,7,73,0.445,196,244,-0.42,0.16,5.49,65,438,14.84,85,453,81.24,6,10,2273,8.6,2345,0.896,
25,Edmonton Oilers,28.2,82,32,43,7,71,0.433,192,245,-0.43,0.22,5.4,53,373,14.21,59,382,84.55,6,4,2193,8.8,2439,0.9,
26,Chicago Blackhawks,27.5,82,31,42,9,71,0.433,195,251,-0.52,0.17,5.6,43,364,11.81,77,443,82.62,12,6,2201,8.9,2408,0.896,
27,Washington Capitals,26.9,82,28,40,14,70,0.427,234,275,-0.73,-0.1,6.35,67,408,16.42,82,414,80.19,12,14,2295,10.2,2734,0.899,
28,Los Angeles Kings,29.2,82,27,41,14,68,0.415,223,277,-0.51,0.18,6.22,81,442,18.33,91,411,77.86,6,6,2542,8.8,2440,0.886,
29,Phoenix Coyotes,28.8,82,31,46,5,67,0.409,211,282,-0.64,0.19,6.1,66,400,16.5,92,425,78.35,5,13,2320,9.1,2470,0.886,
30,Philadelphia Flyers,27.3,82,22,48,12,56,0.341,213,297,-1.12,-0.04,6.3,53,376,14.1,65,420,84.52,15,14,2360,9,2673,0.889,
,League Average,28.3,82,41,32,9,91,0.557,242,242,0,0,5.89,70,398,17.58,70,398,82.42,9,9,2587,9.1,2587,0.904,
