Rk,Team,AvAge,GP,W,L,T,OL,PTS,PTS%,GF,GA,SRS,SOS,TG/G,PP,PPO,PP%,PPA,PPOA,PK,SH,SHA,S,S%,SA,SV%,PDO
1,Colorado Avalanche*,28.4,82,52,16,10,4,118,0.72,270,192,0.95,0,5.63,80,363,22.04,59,342,82.75,11,11,2395,11.3,2059,0.907,
2,New Jersey Devils*,28.5,82,48,19,12,3,111,0.677,295,195,1.1,-0.12,5.98,71,310,22.9,49,320,84.69,9,6,2588,11.4,2024,0.904,
3,Detroit Red Wings*,30.1,82,49,20,9,4,111,0.677,253,202,0.63,0.01,5.55,85,384,22.14,55,385,85.71,10,7,2650,9.5,2221,0.909,
4,Ottawa Senators*,25.8,82,48,21,9,4,109,0.665,274,205,0.74,-0.1,5.84,71,381,18.64,49,361,86.43,10,5,2476,11.1,2235,0.908,
5,Dallas Stars*,29.4,82,48,24,8,2,106,0.646,241,187,0.68,0.02,5.22,72,367,19.62,49,355,86.2,7,7,2100,11.5,2043,0.908,
6,St. Louis Blues*,28.5,82,43,22,12,5,103,0.628,249,195,0.67,0.01,5.41,72,385,18.7,57,389,85.35,15,7,2494,10,1933,0.899,
7,Philadelphia Flyers*,28.1,82,43,25,11,3,100,0.61,240,207,0.33,-0.07,5.45,55,350,15.71,55,314,82.48,11,9,2452,9.8,2144,0.903,
8,Buffalo Sabres*,28.1,82,46,30,5,1,98,0.598,218,184,0.35,-0.07,4.9,60,373,16.09,40,334,88.02,6,5,2204,9.9,2195,0.916,
9,Washington Capitals*,30.1,82,41,27,10,4,96,0.585,233,211,0.16,-0.1,5.41,75,353,21.25,62,391,84.14,6,7,2348,9.9,2273,0.907,
10,Pittsburgh Penguins*,28,82,42,28,9,3,96,0.585,281,256,0.23,-0.07,6.55,76,375,20.27,78,405,80.74,7,11,2394,11.7,2397,0.893,
11,San Jose Sharks*,26.8,82,40,27,12,3,95,0.579,217,192,0.36,0.06,4.99,57,406,14.04,61,441,86.17,8,10,2266,9.6,2169,0.911,
12,Edmonton Oilers*,26.2,82,39,28,12,3,93,0.567,243,222,0.32,0.07,5.67,59,398,14.82,62,382,83.77,13,4,2145,11.3,2139,0.896,
13,Los Angeles Kings*,28.5,82,38,28,13,3,92,0.561,252,228,0.32,0.03,5.85,71,367,19.35,72,382,81.15,14,6,2288,11,2160,0.894,
14,Toronto Maple Leafs*,29.4,82,37,29,11,5,90,0.549,232,207,0.25,-0.05,5.35,57,355,16.06,55,366,84.97,2,9,2276,10.2,2244,0.908,
15,Vancouver Canucks*,26.7,82,36,28,11,7,90,0.549,239,238,0.08,0.07,5.82,71,416,17.07,74,387,80.88,12,11,2434,9.8,2121,0.888,
16,Phoenix Coyotes,28.5,82,35,27,17,3,90,0.549,214,212,0.07,0.05,5.2,57,343,16.62,64,432,85.19,9,6,2055,10.4,2430,0.913,
17,Boston Bruins,26.9,82,36,30,8,8,88,0.537,227,249,-0.27,0,5.8,64,390,16.41,65,377,82.76,8,7,2359,9.6,2190,0.886,
18,Carolina Hurricanes*,28.7,82,38,32,9,3,88,0.537,212,225,-0.24,-0.08,5.33,72,382,18.85,45,351,87.18,6,16,2217,9.6,2206,0.898,
19,Nashville Predators,27,82,34,36,9,3,80,0.488,186,200,-0.11,0.06,4.71,51,361,14.13,49,331,85.2,7,4,2182,8.5,2347,0.915,
20,Calgary Flames,27.7,82,27,36,15,4,73,0.445,197,236,-0.37,0.11,5.28,65,435,14.94,76,378,79.89,3,11,2230,8.8,2224,0.894,
21,New York Rangers,29.5,82,33,43,5,1,72,0.439,250,290,-0.53,-0.04,6.59,65,363,17.91,86,400,78.5,16,12,2345,10.7,2575,0.887,
22,Columbus Blue Jackets,28.2,82,28,39,9,6,71,0.433,190,233,-0.44,0.08,5.16,56,381,14.7,70,363,80.72,3,8,2082,9.1,2475,0.906,
23,Chicago Blackhawks,27.8,82,29,40,8,5,71,0.433,210,246,-0.36,0.08,5.56,41,318,12.89,52,323,83.9,15,12,2160,9.7,2190,0.888,
24,Montreal Canadiens,26.8,82,28,40,8,6,70,0.427,206,232,-0.35,-0.03,5.34,68,421,16.15,60,337,82.2,5,3,2147,9.5,2296,0.899,
25,Minnesota Wild,27.4,82,25,39,13,5,68,0.415,168,210,-0.42,0.09,4.61,36,374,9.63,57,373,84.72,13,14,2020,8.3,2307,0.909,
26,Florida Panthers,27,82,22,38,13,9,66,0.402,200,246,-0.6,-0.04,5.44,46,353,13.03,64,398,83.92,8,13,2170,9.2,2559,0.904,
27,Mighty Ducks of Anaheim,26.9,82,25,41,11,5,66,0.402,188,245,-0.6,0.1,5.28,66,373,17.69,71,390,81.79,6,13,2123,8.9,2417,0.899,
28,Atlanta Thrashers,27.8,82,23,45,12,2,60,0.366,211,289,-0.99,-0.04,6.1,54,395,13.67,90,408,77.94,9,8,2291,9.2,2655,0.891,
29,Tampa Bay Lightning,24.6,82,24,47,6,5,59,0.36,201,280,-0.98,-0.01,5.87,53,424,12.5,72,422,82.94,9,11,2014,10,2557,0.89,
30,New York Islanders,26.8,82,21,51,7,3,52,0.317,185,268,-1.02,0,5.52,51,386,13.21,79,445,82.25,9,14,2257,8.2,2377,0.888,
,League Average,27.8,82,36,32,10,4,86,0.525,226,226,0,0,5.51,63,376,16.64,63,376,83.36,9,9,2426,,2426,0.901,
