Rk,Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,TG/G,PP,PPO,PP%,PPA,PPOA,PK,SH,SHA,S,S%,SA,SV%,PDO
1,Washington Capitals*,27.2,82,54,15,13,121,0.738,313,227,0.9,-0.14,6.72,79,313,25.24,67,316,78.8,4,8,2693,11.6,2535,0.91,102.4
2,San Jose Sharks*,29.3,82,51,20,11,113,0.689,257,209,0.65,0.05,5.84,65,309,21.04,49,324,84.88,8,9,2602,9.9,2571,0.919,101.5
3,Chicago Blackhawks*,26.6,82,52,22,8,112,0.683,262,203,0.77,0.02,5.85,52,294,17.69,40,266,84.96,13,4,2798,9.4,2058,0.901,99.6
4,Phoenix Coyotes*,28.2,82,50,25,7,107,0.652,211,196,0.34,0.06,5.21,46,314,14.65,49,317,84.54,3,6,2502,8.4,2427,0.919,100.2
5,New Jersey Devils*,30.5,82,48,27,7,103,0.628,216,186,0.31,-0.07,5.04,51,272,18.75,41,240,82.92,7,5,2459,8.8,2213,0.916,100.4
6,Vancouver Canucks*,28.1,82,49,28,5,103,0.628,268,218,0.6,-0.01,6.02,68,323,21.05,59,320,81.56,8,6,2534,10.6,2419,0.91,101.4
7,Detroit Red Wings*,30.3,82,44,24,14,102,0.622,223,207,0.23,0.07,5.43,59,307,19.22,43,267,83.9,8,1,2737,8.1,2413,0.914,99.7
8,Los Angeles Kings*,26.2,82,46,27,9,101,0.616,231,211,0.32,0.05,5.61,64,307,20.85,60,304,80.26,4,6,2389,9.7,2260,0.907,100.4
9,Pittsburgh Penguins*,27.8,82,47,28,7,101,0.616,249,235,0.17,-0.07,6.02,56,326,17.18,52,327,84.1,7,8,2688,9.3,2350,0.9,99.5
10,Nashville Predators*,27.6,82,47,29,6,100,0.61,217,221,0.06,0.06,5.49,47,286,16.43,59,258,77.13,5,5,2508,8.7,2396,0.908,99.7
11,Buffalo Sabres*,27.8,82,45,27,10,100,0.61,231,201,0.26,-0.08,5.39,55,313,17.57,38,284,86.62,4,3,2588,8.9,2573,0.922,101
12,Colorado Avalanche*,26.4,82,43,30,9,95,0.579,237,228,0.16,0.02,5.82,56,310,18.06,60,303,80.2,8,9,2287,10.4,2629,0.913,101.5
13,Ottawa Senators*,27.9,82,44,32,6,94,0.573,220,233,-0.22,-0.06,5.65,49,290,16.9,50,318,84.28,5,4,2436,9,2340,0.9,99.1
14,Boston Bruins*,28.1,82,39,30,13,91,0.555,196,191,0.01,-0.06,4.95,44,265,16.6,37,272,86.4,6,3,2599,7.5,2444,0.922,100
15,St. Louis Blues,27.9,82,40,32,10,90,0.549,218,218,0.08,0.06,5.46,53,308,17.21,45,342,86.84,6,6,2445,8.9,2473,0.912,100.1
16,Calgary Flames,28.8,82,40,32,10,90,0.549,201,203,-0.03,0.04,5.05,43,268,16.04,54,305,82.3,7,1,2350,8.6,2372,0.914,100.1
17,Anaheim Ducks,27.9,82,39,32,11,89,0.543,233,243,-0.07,0.09,5.96,63,300,21,67,323,79.26,8,9,2472,9.4,2736,0.911,100.6
18,Dallas Stars,28.3,82,37,31,14,88,0.537,230,244,-0.12,0.09,5.99,61,328,18.6,65,288,77.43,8,8,2523,9.1,2559,0.905,99.8
19,Philadelphia Flyers*,27.7,82,41,35,6,88,0.537,232,222,0.08,-0.06,5.62,68,318,21.38,57,334,82.93,5,7,2589,9,2346,0.905,99.7
20,Montreal Canadiens*,27.5,82,39,33,10,88,0.537,210,218,-0.14,-0.07,5.37,57,261,21.84,53,311,82.96,3,8,2345,9,2634,0.917,100.8
21,New York Rangers,26.8,82,38,33,11,87,0.53,219,214,0,-0.05,5.37,55,301,18.27,50,318,84.28,5,6,2425,9,2450,0.913,100.4
22,Minnesota Wild,28.6,82,38,36,8,84,0.512,214,239,-0.26,0.07,5.67,59,309,19.09,53,306,82.68,3,13,2266,9.4,2415,0.901,99.7
23,Atlanta Thrashers,27.5,82,35,34,13,83,0.506,230,250,-0.33,-0.06,5.98,51,316,16.14,57,320,82.19,9,4,2409,9.5,2716,0.908,100.4
24,Tampa Bay Lightning,27,82,34,36,12,80,0.488,213,253,-0.56,-0.03,5.82,63,326,19.33,67,336,80.06,2,6,2367,9,2575,0.902,99.4
25,Carolina Hurricanes,28.9,82,35,37,10,80,0.488,226,251,-0.37,-0.05,5.93,56,329,17.02,62,320,80.63,7,8,2402,9.4,2574,0.902,99.8
26,New York Islanders,28.3,82,34,37,11,79,0.482,214,258,-0.53,-0.02,5.93,49,306,16.01,71,300,76.33,7,3,2493,8.6,2619,0.901,99.1
27,Columbus Blue Jackets,26.1,82,32,35,15,79,0.482,214,249,-0.42,0.11,5.79,56,308,18.18,61,334,81.74,6,8,2338,9.2,2514,0.901,99.5
28,Florida Panthers,28.1,82,32,37,13,77,0.47,202,234,-0.47,-0.03,5.51,44,309,14.24,59,286,79.37,7,8,2331,8.7,2800,0.916,100.3
29,Toronto Maple Leafs,27,82,30,38,14,74,0.451,210,263,-0.68,-0.03,5.87,44,315,13.97,73,288,74.65,4,6,2671,7.9,2440,0.892,97.8
30,Edmonton Oilers,27.1,82,27,47,8,62,0.378,206,278,-0.76,0.09,6.07,52,301,17.28,67,305,78.03,6,5,2321,8.9,2716,0.898,99.2
,League Average,27.8,82,41,31,10,92,0.561,233,233,0,0,5.68,56,304,18.23,56,304,81.77,6,6,2670,8.5,2670,0.908,
