Rk,Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,TG/G,PP,PPO,PP%,PPA,PPOA,PK,SH,SHA,S,S%,SA,SV%,PDO
1,San Jose Sharks*,28.7,82,53,18,11,117,0.713,251,199,0.61,-0.04,5.62,87,360,24.17,51,304,83.22,12,11,2720,9.2,2228,0.911,100.4
2,Boston Bruins*,28.4,82,53,19,10,116,0.707,270,190,0.89,-0.06,5.73,74,313,23.64,54,306,82.35,8,7,2482,10.9,2524,0.925,102.9
3,Detroit Red Wings*,31.2,82,51,21,10,112,0.683,289,240,0.62,0,6.57,90,353,25.5,71,327,78.29,6,4,2965,9.7,2274,0.894,99.6
4,Washington Capitals*,27.2,82,50,24,8,108,0.659,268,240,0.27,-0.06,6.3,85,337,25.22,75,387,80.62,7,11,2747,9.8,2418,0.901,100.1
5,New Jersey Devils*,30.3,82,51,27,4,106,0.646,238,207,0.38,-0.05,5.52,58,307,18.89,65,324,79.94,12,4,2698,8.8,2415,0.914,100.4
6,Chicago Blackhawks*,25.9,82,46,24,12,104,0.634,260,209,0.6,0.01,5.85,70,363,19.28,64,330,80.61,10,6,2683,9.7,2344,0.911,100.7
7,Vancouver Canucks*,27.9,82,45,27,10,100,0.61,243,213,0.3,-0.02,5.68,67,357,18.77,69,371,81.4,7,5,2335,10.4,2392,0.911,101.6
8,Philadelphia Flyers*,27,82,44,27,11,99,0.604,260,232,0.28,-0.04,6.12,71,316,22.47,67,393,82.95,16,1,2441,10.7,2668,0.913,101.7
9,Pittsburgh Penguins*,26.6,82,45,28,9,99,0.604,258,233,0.28,-0.02,6.13,62,360,17.22,60,347,82.71,7,13,2381,10.8,2484,0.906,101.3
10,Calgary Flames*,28.9,82,46,30,6,98,0.598,251,246,0.07,0,6.12,61,358,17.04,58,349,83.38,6,15,2643,9.5,2441,0.899,99.6
11,Carolina Hurricanes*,27.9,82,45,30,7,97,0.591,236,221,0.11,-0.05,5.67,70,374,18.72,59,301,80.4,8,9,2675,8.8,2419,0.909,99.8
12,New York Rangers*,27,82,43,30,9,95,0.579,200,212,-0.1,-0.01,5.22,48,346,13.87,40,329,87.84,9,14,2658,7.5,2433,0.913,99
13,Florida Panthers,28.6,82,41,30,11,93,0.567,231,223,0,-0.04,5.67,51,308,16.56,54,311,82.64,7,9,2411,9.6,2843,0.922,101.4
14,Montreal Canadiens*,27.6,82,41,30,11,93,0.567,242,240,0.02,-0.01,6.05,72,374,19.25,65,370,82.43,10,11,2461,9.8,2600,0.908,100.6
15,St. Louis Blues*,27.1,82,41,31,10,92,0.561,227,227,0.05,0.05,5.68,72,351,20.51,58,357,83.75,10,8,2271,10,2341,0.903,100.3
16,Columbus Blue Jackets*,25.8,82,41,31,10,92,0.561,220,223,-0.01,0.04,5.56,41,322,12.73,62,346,82.08,8,12,2370,9.3,2281,0.902,99.7
17,Anaheim Ducks*,29.2,82,42,33,7,91,0.555,238,235,0.09,0,5.89,73,309,23.62,78,385,79.74,6,8,2481,9.6,2499,0.906,100.3
18,Buffalo Sabres,28.1,82,41,32,9,91,0.555,242,229,0.18,-0.02,5.9,75,358,20.95,61,336,81.85,7,5,2505,9.7,2575,0.911,100.8
19,Minnesota Wild,27.7,82,40,33,9,89,0.543,214,197,0.22,-0.02,5.11,66,328,20.12,36,291,87.63,9,6,2257,9.5,2518,0.922,101.4
20,Nashville Predators,27.6,82,40,34,8,88,0.537,207,228,-0.19,0.06,5.44,50,318,15.72,59,338,82.54,9,8,2375,8.7,2411,0.905,99.5
21,Edmonton Oilers,28.8,82,38,35,9,85,0.518,228,244,-0.16,0.01,5.88,60,354,16.95,76,338,77.51,3,8,2303,9.9,2668,0.909,100.9
22,Dallas Stars,28.5,82,36,35,11,83,0.506,224,251,-0.3,0.03,5.94,54,351,15.38,70,327,78.59,2,4,2369,9.5,2303,0.891,99
23,Ottawa Senators,27.9,82,36,35,11,83,0.506,213,231,-0.23,0.01,5.54,66,339,19.47,64,346,81.5,8,5,2405,8.9,2336,0.901,99.3
24,Toronto Maple Leafs,28,82,34,35,13,81,0.494,244,286,-0.49,0.03,6.62,62,330,18.79,78,308,74.68,6,7,2603,9.4,2480,0.885,98.4
25,Los Angeles Kings,25.5,82,34,37,11,79,0.482,202,226,-0.29,0.04,5.38,69,360,19.17,62,361,82.83,4,8,2383,8.5,2301,0.902,99
26,Phoenix Coyotes,26.6,82,36,39,7,79,0.482,205,249,-0.5,0.04,5.61,50,341,14.66,68,293,76.79,5,4,2302,8.9,2591,0.904,99.4
27,Atlanta Thrashers,27.9,82,35,41,6,76,0.463,250,279,-0.3,-0.02,6.55,69,357,19.33,88,366,75.96,13,10,2306,10.8,2683,0.896,100.6
28,Colorado Avalanche,28.6,82,32,45,5,69,0.421,190,253,-0.66,0.05,5.56,50,318,15.72,64,318,79.87,4,8,2359,8.1,2376,0.894,98
29,Tampa Bay Lightning,27.4,82,24,40,18,66,0.402,207,269,-0.81,0.03,5.96,61,343,17.78,89,405,78.02,4,9,2337,8.9,2701,0.9,99.2
30,New York Islanders,27.7,82,26,47,9,61,0.372,198,274,-0.91,0.05,5.85,54,320,16.88,73,361,79.78,12,5,2372,8.3,2751,0.9,98.8
,League Average,27.9,82,41,32,9,91,0.557,239,239,0,0,5.83,65,341,18.95,65,341,81.05,8,8,2656,8.8,2656,0.906,
