Rk,Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,TG/G,PP,PPO,PP%,PPA,PPOA,PK,SH,SHA,S,S%,SA,SV%,PDO
1,Vancouver Canucks*,28.1,82,54,19,9,117,0.713,258,180,0.87,-0.07,5.45,72,296,24.32,45,312,85.58,6,2,2624,9.8,2470,0.927,102.2
2,Washington Capitals*,25.9,82,48,23,11,107,0.652,219,191,0.27,-0.06,5.13,46,263,17.49,43,299,85.62,7,5,2566,8.5,2375,0.92,100.4
3,Philadelphia Flyers*,27.6,82,47,23,12,106,0.646,256,216,0.4,-0.04,5.88,49,295,16.61,54,313,82.75,13,5,2605,9.8,2471,0.913,101.1
4,Pittsburgh Penguins*,27.4,82,49,25,8,106,0.646,228,196,0.43,-0.05,5.33,49,311,15.76,45,324,86.11,13,6,2581,8.8,2352,0.917,100.5
5,San Jose Sharks*,27.9,82,48,25,9,105,0.64,243,208,0.44,0.02,5.62,68,290,23.45,56,273,79.49,6,7,2832,8.6,2368,0.912,100
6,Detroit Red Wings*,30.7,82,47,25,10,104,0.634,257,237,0.27,0.03,6.12,67,301,22.26,53,300,82.33,5,7,2757,9.3,2514,0.906,100.1
7,Boston Bruins*,28.3,82,46,25,11,103,0.628,244,189,0.56,-0.07,5.38,43,266,16.17,46,265,82.64,11,5,2696,9.1,2682,0.93,101.9
8,Tampa Bay Lightning*,29,82,46,25,11,103,0.628,241,234,0.04,-0.05,5.94,69,336,20.54,49,302,83.77,1,16,2605,9.3,2354,0.901,99.5
9,Anaheim Ducks*,28.9,82,47,30,5,99,0.604,235,233,0.09,0.05,5.78,67,285,23.51,57,305,81.31,7,7,2334,10.1,2648,0.912,101
10,Nashville Predators*,26.7,82,44,27,11,99,0.604,213,190,0.31,0.01,5.04,41,269,15.24,41,272,84.93,5,2,2361,9,2510,0.924,101.4
11,Phoenix Coyotes*,29,82,43,26,13,99,0.604,226,220,0.11,0.05,5.57,46,289,15.92,64,296,78.38,5,6,2486,9.1,2673,0.918,100.9
12,Los Angeles Kings*,26.3,82,46,30,6,98,0.598,209,196,0.29,0.03,5.09,47,291,16.15,40,276,85.51,4,6,2363,8.8,2288,0.914,100.3
13,Chicago Blackhawks*,26.7,82,44,29,9,97,0.591,252,220,0.41,0.01,5.89,64,277,23.1,53,255,79.22,6,4,2637,9.6,2354,0.907,100.3
14,Buffalo Sabres*,27.5,82,43,29,10,96,0.585,240,228,0.15,-0.04,5.78,54,279,19.35,51,300,83,2,13,2690,8.9,2514,0.909,100
15,Montreal Canadiens*,27.6,82,44,30,8,96,0.585,213,206,0.05,-0.04,5.18,57,290,19.66,51,327,84.4,5,6,2602,8.2,2537,0.919,100.2
16,Dallas Stars,28,82,42,29,11,95,0.579,222,226,-0.02,0.05,5.61,55,306,17.97,55,277,80.14,10,15,2269,9.8,2504,0.91,100.7
17,Calgary Flames,30,82,41,29,12,94,0.573,241,230,0.14,-0.02,5.94,62,318,19.5,53,282,81.21,7,9,2501,9.6,2338,0.902,99.9
18,New York Rangers*,26.2,82,44,33,5,93,0.567,224,195,0.37,-0.06,5.26,49,290,16.9,42,257,83.66,11,5,2453,9.1,2410,0.919,100.9
19,Carolina Hurricanes,26.6,82,40,31,11,91,0.555,231,234,-0.08,-0.04,5.79,55,346,15.9,51,272,81.25,7,6,2517,9.2,2725,0.914,100.7
20,St. Louis Blues,25.7,82,38,33,11,87,0.53,236,228,0.11,0.04,5.78,52,279,18.64,51,279,81.72,7,1,2475,9.5,2274,0.9,99.7
21,Minnesota Wild,28.9,82,39,35,8,86,0.524,203,228,-0.3,0.03,5.35,53,292,18.15,53,309,82.85,7,7,2148,9.5,2625,0.913,100.7
22,Toronto Maple Leafs,25.7,82,37,34,11,85,0.518,213,245,-0.41,0,5.72,52,326,15.95,62,275,77.45,5,8,2360,9,2540,0.904,99.7
23,New Jersey Devils,29.9,82,38,39,5,81,0.494,171,207,-0.41,0.02,4.67,34,237,14.35,40,241,83.4,3,8,2344,7.3,2152,0.904,98.1
24,Columbus Blue Jackets,26.8,82,34,35,13,81,0.494,210,250,-0.45,0.08,5.77,42,301,13.95,62,314,80.25,6,11,2506,8.4,2447,0.898,98.6
25,Atlanta Thrashers,26.1,82,34,36,12,80,0.488,218,262,-0.57,-0.01,6,53,289,18.34,64,285,77.54,6,10,2581,8.4,2638,0.901,98.9
26,Ottawa Senators,28.1,82,32,40,10,74,0.451,190,245,-0.69,0.02,5.39,45,257,17.51,48,295,83.73,6,4,2381,8,2559,0.904,98.6
27,New York Islanders,26.2,82,30,39,13,73,0.445,225,258,-0.42,0.01,6.01,52,302,17.22,52,310,83.23,15,7,2408,9.3,2620,0.902,99.6
28,Florida Panthers,28.3,82,30,40,12,72,0.439,191,222,-0.43,-0.01,5.17,35,267,13.11,41,267,84.64,4,5,2493,7.7,2609,0.915,99.3
29,Colorado Avalanche,25.9,82,30,44,8,68,0.415,221,287,-0.7,0.05,6.28,49,265,18.49,75,314,76.11,8,11,2394,9.2,2609,0.89,98.7
30,Edmonton Oilers,26.2,82,25,45,12,62,0.378,191,260,-0.87,0.06,5.63,44,304,14.47,74,321,76.95,8,2,2188,8.7,2597,0.9,99
,League Average,27.5,82,41,31,10,92,0.56,229,229,0,0,5.59,52,291,18.02,52,291,81.98,7,7,2683,8.4,2683,0.91,
