Rk,Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,TG/G,PP,PPO,PP%,PPA,PPOA,PK,SH,SHA,S,S%,SA,SV%,PDO
1,Chicago Blackhawks*,26.8,48,36,7,5,77,0.802,149,97,1.04,-0.07,5.35,25,150,16.67,18,141,87.23,5,5,1494,10,1258,0.923,101.9
2,Pittsburgh Penguins*,29,48,36,12,0,72,0.75,162,119,0.91,-0.05,5.92,42,170,24.71,34,167,79.64,2,3,1438,11.3,1403,0.915,102.5
3,Anaheim Ducks*,28.8,48,30,12,6,66,0.688,134,115,0.43,-0.02,5.38,29,135,21.48,30,162,81.48,5,5,1347,9.9,1340,0.914,101.3
4,Montreal Canadiens*,27.8,48,29,14,5,63,0.656,146,124,0.46,-0.02,5.73,42,203,20.69,35,173,79.77,0,2,1468,9.9,1293,0.904,100.6
5,Boston Bruins*,27.8,48,28,14,6,62,0.646,127,106,0.44,-0.02,5,18,122,14.75,21,163,87.12,5,2,1557,8.2,1373,0.923,100.4
6,St. Louis Blues*,26.3,48,29,17,2,60,0.625,124,114,0.31,0.02,5.08,29,149,19.46,23,150,84.67,3,5,1336,9.3,1161,0.902,99.6
7,Los Angeles Kings*,26.5,48,27,16,5,59,0.615,131,114,0.29,-0.02,5.23,33,166,19.88,27,161,83.23,2,1,1431,9.2,1198,0.905,99.8
8,Vancouver Canucks*,28.2,48,26,15,7,59,0.615,122,115,0.07,-0.06,5.17,26,165,15.76,27,169,84.02,2,3,1350,9,1389,0.917,100.7
9,San Jose Sharks*,28.9,48,25,16,7,57,0.594,116,112,0.17,0.01,5,34,169,20.12,22,147,85.03,3,4,1526,7.6,1390,0.919,99.7
10,Toronto Maple Leafs*,26,48,26,17,5,57,0.594,145,128,0.27,0.02,5.79,31,166,18.67,19,157,87.9,1,4,1264,11.5,1549,0.917,102.7
11,Washington Capitals*,26.6,48,27,18,3,57,0.594,146,130,0.31,-0.09,5.81,44,164,26.83,36,163,77.91,3,4,1350,10.8,1551,0.916,102.2
12,New York Rangers*,27.2,48,26,18,4,56,0.583,126,108,0.38,0,5.04,24,153,15.69,28,148,81.08,5,4,1483,8.5,1353,0.92,100.5
13,Ottawa Senators*,27.4,48,25,17,6,56,0.583,112,100,0.27,0.02,4.58,25,157,15.92,20,167,88.02,2,1,1591,7,1502,0.933,100.4
14,Detroit Red Wings*,28.2,48,24,16,8,56,0.583,122,110,0.2,0.01,4.98,34,185,18.38,30,164,81.71,3,5,1447,8.4,1322,0.917,100.2
15,Columbus Blue Jackets,26.3,48,24,17,7,55,0.573,115,115,0.03,0.01,4.98,22,155,14.19,25,144,82.64,3,2,1283,9,1436,0.92,100.9
16,New York Islanders*,28.7,48,24,17,7,55,0.573,135,136,0.03,0.03,5.79,31,156,19.87,28,142,80.28,2,0,1485,9.1,1352,0.899,99.3
17,Minnesota Wild*,27.8,48,26,19,3,55,0.573,118,125,-0.16,-0.05,5.19,27,151,17.88,26,135,80.74,1,0,1382,8.5,1299,0.904,99.2
18,Winnipeg Jets,26.4,48,24,21,3,51,0.531,126,141,-0.36,-0.03,5.67,20,145,13.79,28,138,79.71,1,3,1389,9.1,1424,0.901,99.5
19,Phoenix Coyotes,28.4,48,21,18,9,51,0.531,121,125,-0.1,0.03,5.33,25,169,14.79,34,169,79.88,2,2,1482,8.2,1467,0.915,99.9
20,Philadelphia Flyers,27.9,48,23,22,3,49,0.51,132,139,-0.14,0.03,5.71,37,171,21.64,26,184,85.87,2,3,1394,9.5,1371,0.899,99.6
21,Buffalo Sabres,27.3,48,21,21,6,48,0.5,118,139,-0.31,0.07,5.58,23,163,14.11,37,178,79.21,7,7,1339,8.8,1606,0.913,100.2
22,New Jersey Devils,30.8,48,19,19,10,48,0.5,110,122,-0.31,0.04,5.02,28,176,15.91,32,169,81.07,11,6,1362,8,1110,0.89,97.6
23,Dallas Stars,28.2,48,22,22,4,48,0.5,128,141,-0.21,0.05,5.67,29,171,16.96,34,179,81.01,2,3,1261,10.2,1489,0.905,100.8
24,Edmonton Oilers,26.4,48,19,22,7,45,0.469,123,131,-0.22,-0.03,5.4,34,169,20.12,29,175,83.43,4,1,1285,9.6,1572,0.917,101.2
25,Carolina Hurricanes,26.9,48,19,25,4,42,0.438,127,159,-0.65,0.02,6,24,165,14.55,36,161,77.64,3,4,1545,8.2,1546,0.898,98.4
26,Calgary Flames,29,48,19,25,4,42,0.438,128,157,-0.65,0.02,6,31,155,20,28,151,81.46,6,2,1293,9.9,1412,0.889,99
27,Nashville Predators,27.3,48,16,23,9,41,0.427,109,133,-0.5,0.09,5.21,24,140,17.14,34,139,75.54,1,4,1244,8.8,1335,0.9,99.2
28,Tampa Bay Lightning,27.7,48,18,26,4,40,0.417,147,147,-0.11,-0.07,6.21,31,163,19.02,30,155,80.65,0,4,1323,11.1,1451,0.899,101
29,Colorado Avalanche,26.7,48,16,25,7,39,0.406,114,150,-0.73,0.02,5.58,21,140,15,36,183,80.33,3,3,1415,8.1,1508,0.901,98.5
30,Florida Panthers,27.8,48,15,27,6,36,0.375,109,170,-1.18,0.05,5.9,29,142,20.42,39,151,74.17,4,1,1400,7.8,1504,0.887,97.1
,League Average,27.6,48,24,19,5,53,0.556,131,131,0,0,5.44,29,160,18.22,29,160,81.78,3,3,1582,8.1,1582,0.91,
