Rk,Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,TG/G,PP,PPO,PP%,PPA,PPOA,PK,SH,SHA,S,S%,SA,SV%,PDO
1,Vancouver Canucks*,28.5,82,51,22,9,111,0.677,241,191,0.57,-0.05,5.45,57,288,19.79,40,286,86.01,7,4,2583,9.3,2526,0.924,101.6
2,St. Louis Blues*,26.5,82,49,22,11,109,0.665,206,155,0.54,-0.01,4.57,45,269,16.73,40,282,85.82,7,3,2511,8.2,2190,0.929,101
3,New York Rangers*,26.5,82,51,24,7,109,0.665,222,182,0.46,-0.02,5.04,44,280,15.71,36,260,86.15,8,4,2338,9.5,2281,0.92,101.3
4,Pittsburgh Penguins*,28.5,82,51,25,6,108,0.659,273,218,0.71,-0.03,6.13,57,289,19.72,33,270,87.78,11,10,2779,9.8,2247,0.903,100.1
5,Nashville Predators*,26.8,82,48,26,8,104,0.634,232,205,0.34,0.01,5.45,54,250,21.6,40,244,83.61,5,4,2261,10.3,2522,0.919,101.8
6,Philadelphia Flyers*,27.3,82,47,26,9,103,0.628,260,225,0.39,0,6.05,66,335,19.7,58,319,81.82,6,9,2641,9.8,2329,0.903,100.3
7,Boston Bruins*,28.8,82,49,29,4,102,0.622,260,199,0.75,-0.07,5.74,43,250,17.2,43,260,83.46,8,1,2653,9.8,2441,0.918,101.5
8,Detroit Red Wings*,30,82,48,28,6,102,0.622,239,200,0.55,0,5.5,48,298,16.11,50,274,81.75,2,11,2638,9.1,2212,0.91,100.2
9,New Jersey Devils*,30.1,82,48,28,6,102,0.622,216,205,0.23,0,5.33,46,267,17.23,27,259,89.58,15,13,2253,9.6,2199,0.907,100.2
10,Chicago Blackhawks*,27,82,45,26,11,101,0.616,241,231,0.14,0.02,5.93,42,277,15.16,51,233,78.11,7,3,2583,9.3,2343,0.901,99.6
11,Phoenix Coyotes*,28.9,82,42,27,13,97,0.591,210,194,0.16,0.01,5.12,34,251,13.55,36,249,85.54,6,6,2428,8.6,2592,0.925,101.1
12,San Jose Sharks*,28.1,82,43,29,10,96,0.585,219,205,0.22,0,5.34,57,270,21.11,52,225,76.89,3,4,2773,7.9,2342,0.912,99.5
13,Los Angeles Kings*,26.7,82,40,27,15,95,0.579,188,170,0.19,0.01,4.55,49,289,16.96,38,293,87.03,9,2,2509,7.5,2248,0.924,100
14,Florida Panthers*,29,82,38,26,18,94,0.573,197,216,-0.33,-0.03,5.24,53,286,18.53,49,239,79.5,4,6,2433,8.1,2505,0.914,99.8
15,Ottawa Senators*,27.8,82,41,31,10,92,0.561,243,236,0.09,-0.02,5.96,49,270,18.15,57,310,81.61,9,7,2574,9.4,2627,0.91,100.5
16,Washington Capitals*,27.6,82,42,32,8,92,0.561,218,226,-0.13,-0.03,5.51,41,245,16.73,49,266,81.58,3,10,2295,9.5,2475,0.909,100.3
17,Calgary Flames,29.6,82,37,29,16,90,0.549,199,217,-0.28,0.01,5.22,46,260,17.69,42,268,84.33,3,6,2258,8.8,2528,0.914,100.2
18,Dallas Stars,28.4,82,42,35,5,89,0.543,204,218,-0.1,0.03,5.28,33,244,13.52,52,303,82.84,5,3,2314,8.8,2527,0.914,100.3
19,Buffalo Sabres,27,82,39,32,11,89,0.543,211,223,-0.15,0,5.46,44,258,17.05,47,257,81.71,5,7,2397,8.8,2571,0.913,100.3
20,Colorado Avalanche,25.9,82,41,35,6,88,0.537,199,218,-0.13,0.01,5.22,41,223,18.39,47,277,83.03,5,4,2583,7.7,2426,0.91,99
21,Tampa Bay Lightning,29.5,82,38,36,8,84,0.512,232,278,-0.57,-0.01,6.29,41,269,15.24,59,284,79.23,2,12,2227,10.4,2501,0.889,99.5
22,Winnipeg Jets,26.2,82,37,35,10,84,0.512,221,242,-0.3,-0.04,5.74,45,251,17.93,58,292,80.14,3,8,2471,8.9,2470,0.902,99.5
23,Carolina Hurricanes,26.5,82,33,33,16,82,0.5,212,237,-0.39,-0.02,5.56,49,294,16.67,49,252,80.56,12,4,2497,8.5,2653,0.911,99.7
24,Minnesota Wild,27.4,82,35,36,11,81,0.494,166,217,-0.58,0.02,4.91,39,258,15.12,51,285,82.11,5,4,2174,7.6,2570,0.916,99.4
25,Anaheim Ducks,28.5,82,34,36,12,80,0.488,201,224,-0.29,0.04,5.3,45,271,16.61,51,283,81.98,4,5,2291,8.8,2367,0.905,99.5
26,Toronto Maple Leafs,25.9,82,35,37,10,80,0.488,227,259,-0.38,0.02,6.04,49,267,18.35,55,242,77.27,5,6,2322,9.8,2528,0.898,99.7
27,New York Islanders,27.8,82,34,37,11,79,0.482,196,251,-0.58,0.05,5.59,45,243,18.52,46,236,80.51,4,5,2410,8.1,2469,0.898,98.4
28,Montreal Canadiens,26.8,82,31,35,16,78,0.476,207,214,-0.17,0,5.34,43,301,14.29,36,315,88.57,10,8,2340,8.8,2432,0.912,100.1
29,Edmonton Oilers,27.4,82,32,40,10,74,0.451,207,232,-0.32,0.01,5.5,54,262,20.61,52,296,82.43,5,8,2186,9.5,2518,0.908,100.4
30,Columbus Blue Jackets,26.7,82,29,46,7,65,0.396,198,257,-0.65,0.08,5.66,49,317,15.46,64,274,76.64,7,8,2454,8.1,2537,0.899,98.4
,League Average,27.7,82,41,31,10,92,0.561,224,224,0,0,5.47,47,271,17.31,47,271,82.69,6,6,2608,8.4,2608,0.911,
